Section,,Mass,Depth,Width,Thickness,,Root,Depth,Ratios for,,Dimensions for,,,Surface,,,,,,,,,,,,,,
Designation,,per,of,of,,,Radius,between,Local Buckling,,Detailing,,,Area,,Second Moment,,Radius of,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
,,Metre,Section,Section,Web,Flange,,Fillets,Web,Flange,End,Notch,,Per,Per,of Area,,Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
,,,,,,,,,,,Clearance,,,Metre,Tonne,y-y,z-z,y-y,z-z,y-y,z-z,y-y,z-z,,,,,Section
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,h,b,tw,tf,r,d,cw / tw,cf / tf,C,N,n,,,,,,,,,,,U,X,Iw,I T,A
,,kg/m,mm,mm,mm,mm,mm,mm,,,mm,mm,mm,m2,m2,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,,,dm6,cm4,cm2
610x229x140,,139.9,617.2,230.2,13.1,22.1,12.7,547.6,41.8,4.34,9,120,36,2.11,15.1,112000,4510,25,5.03,3620,391,4140,611,0.875,30.6,3.99,216,178
610x229x125,,125.1,612.2,229,11.9,19.6,12.7,547.6,46,4.89,8,120,34,2.09,16.7,98600,3930,24.9,4.97,3220,343,3680,535,0.875,34,3.45,154,159
610x229x113,,113,607.6,228.2,11.1,17.3,12.7,547.6,49.3,5.54,8,120,30,2.08,18.4,87300,3430,24.6,4.88,2870,301,3280,469,0.87,38,2.99,111,144
610x229x101,,101.2,602.6,227.6,10.5,14.8,12.7,547.6,52.2,6.48,7,120,28,2.07,20.5,75800,2910,24.2,4.75,2520,256,2880,400,0.863,43,2.52,77,129
610x178x100,+ ,100.3,607.4,179.2,11.3,17.2,12.7,547.6,48.5,4.14,8,94,30,1.89,18.8,72500,1660,23.8,3.6,2390,185,2790,296,0.854,38.7,1.44,95,128
610x178x192,+ ,92.2,603,178.8,10.9,15,12.7,547.6,50.2,4.75,7,94,28,1.88,20.4,64600,1440,23.4,3.5,2140,161,2510,258,0.85,42.7,1.24,71,117
610x178x82,+ ,81.8,598.6,177.9,10,12.8,12.7,547.6,54.8,5.57,7,94,26,1.87,22.9,55900,1210,23.2,3.4,1870,136,2190,218,0.843,48.5,1.04,48.8,104
533x312x272,+ ,273.3,577.1,320.2,21.1,37.6,12.7,476.5,22.6,3.64,13,160,52,2.37,8.67,199000,20600,23.9,7.69,6890,1290,7870,1990,0.891,15.9,15,1290,348
533x312x219,+ ,218.8,560.3,317.4,18.3,29.2,12.7,476.5,26,4.69,11,160,42,2.33,10.7,151000,15600,23.3,7.48,5400,982,6120,1510,0.884,19.8,11,642,279
533x312x182,+ ,181.5,550.7,314.5,15.2,24.4,12.7,476.5,31.3,5.61,10,160,38,2.31,12.7,123000,12700,23.1,7.4,4480,806,5040,1240,0.886,23.4,8.77,373,231
533x312x150,+ ,150.6,542.5,312,12.7,20.3,12.7,476.5,37.5,6.75,8,160,34,2.29,15.2,101000,10300,22.9,7.32,3710,659,4150,1010,0.885,27.8,7.01,216,192
533x210x138,+ ,138.3,549.1,213.9,14.7,23.6,12.7,476.5,32.4,3.68,9,110,38,1.9,13.7,86100,3860,22.1,4.68,3140,361,3610,568,0.874,24.9,2.67,250,176
533x210x122,,122,544.5,211.9,12.7,21.3,12.7,476.5,37.5,4.08,8,110,34,1.89,15.5,76000,3390,22.1,4.67,2790,320,3200,500,0.878,27.6,2.32,178,155
533x210x109,,109,539.5,210.8,11.6,18.8,12.7,476.5,41.1,4.62,8,110,32,1.88,17.2,66800,2940,21.9,4.6,2480,279,2830,436,0.875,30.9,1.99,126,139
533x210x101,,101,536.7,210,10.8,17.4,12.7,476.5,44.1,4.99,7,110,32,1.87,18.5,61500,2690,21.9,4.57,2290,256,2610,399,0.874,33.1,1.81,101,129
533x210x92,,92.1,533.1,209.3,10.1,15.6,12.7,476.5,47.2,5.57,7,110,30,1.86,20.2,55200,2390,21.7,4.51,2070,228,2360,355,0.873,36.4,1.6,75.7,117
533x210x82,,82.2,528.3,208.8,9.6,13.2,12.7,476.5,49.6,6.58,7,110,26,1.85,22.5,47500,2010,21.3,4.38,1800,192,2060,300,0.863,41.6,1.33,51.5,105
533x168x85,+ ,84.8,534.9,166.5,10.3,16.5,12.7,476.5,46.3,3.96,7,90,30,1.69,19.9,48500,1270,21.2,3.44,1820,153,2100,243,0.861,35.5,0.857,73.8,108
533x168x74,+ ,74.7,529.1,165.9,9.7,13.6,12.7,476.5,49.1,4.81,7,90,28,1.68,22.5,41100,1040,20.8,3.3,1550,125,1810,200,0.853,41.1,0.691,47.9,95.2
533x168x66,+ ,65.7,524.7,165.1,8.9,11.4,12.7,476.5,53.5,5.74,6,90,26,1.67,25.4,35000,859,20.5,3.2,1340,104,1560,166,0.847,47,0.566,32,83.7
457x191x161,+ ,161.4,492,199.4,18,32,10.2,407.6,22.6,2.52,11,102,44,1.73,10.7,79800,4250,19.7,4.55,3240,426,3780,672,0.881,16.5,2.25,515,206
457x191x133,+ ,133.3,480.6,196.7,15.3,26.3,10.2,407.6,26.6,3.06,10,102,38,1.7,12.8,63800,3350,19.4,4.44,2660,341,3070,535,0.879,19.6,1.73,292,170
